District Code	Mean Scale Score	Percentage Advanced	Percentage Proficient	Percentage Basic	Percentage Below Basic	Percentage Far Below Basic
0	467.1	66	25	7	2	0
0	407.3	63	28	8	1	0
0	422.9	58	31	9	2	0
0	433.4	60	30	9	2	0
0	408.4	63	28	8	1	0
0	423.8	53	35	10	2	0
0	454.8	64	30	5	1	0
0	413.8	61	30	7	1	0
0	419.5	71	21	7	1	0
0	416.8	64	23	11	2	1
0	406.8	38	40	15	6	1
0	490.5	84	8	8	0	0
0	437.5	59	33	7	1	0
0	375.5	22	50	18	7	2
0	472.8	81	13	4	1	1
0	*	*	*	*	*	*
0	368.3	29	38	28	4	2
0	409.4	54	29	12	2	3
0	361.6	25	37	28	5	5
0	349.3	8	48	39	3	2
0	402.0	57	31	12	1	0
0	402.2	59	27	13	0	1
0	371.7	19	47	19	8	6
0	468.8	73	24	3	0	0
0	375.4	21	44	26	8	1
0	410.6	46	32	16	5	1
0	361.8	14	44	24	15	3
0	*	*	*	*	*	*
0	408.9	62	29	7	1	1
0	397.2	58	27	12	2	1
0	322.8	4	29	29	33	4
0	*	*	*	*	*	*
0	*	*	*	*	*	*
0	319.2	3	27	28	31	12
0	362.8	21	34	30	12	4
0	329.5	5	28	40	24	4
0	412.8	45	39	13	3	0
0	374.5	31	38	26	3	1
0	380.0	38	35	21	3	3
0	*	*	*	*	*	*
0	369.5	33	36	23	3	5
0	393.6	43	33	18	3	3
0	401.8	52	29	15	2	2
0	381.0	38	40	18	3	1
0	377.3	36	37	23	3	1
0	*	*	*	*	*	*
0	326.5	26	15	17	5	38
0	365.6	29	38	24	5	5
0	339.8	2	60	22	2	15
0	404.7	57	28	12	2	2
